episode_id,omega,n_planets,n_orbital,n_static,orbital_share,prod_total,prod_mean,prod_std,n_neutral_start,neutral_prod_share,mean_inter_dist,min_inter_dist,max_inter_dist,std_inter_dist,sun_blockage_share,home_to_nearest_neutral_median,home_to_home_median,n_home,size_bucket,has_orbital,map_type,kmeans_cluster
75571862,0.041486254608585,24,0,24,0.0,60.0,2.5,1.2583057392117916,24,1.0,63.26112771436696,12.097777348198502,124.33782129026196,27.4820016035443,0.1159420289855072,0.0,0.0,0,small,0,small_static,1
75608555,0.0482090390076648,28,4,24,0.1428571428571428,72.0,2.5714285714285716,1.2936264483053452,28,1.0,58.716983363009696,10.944999929443886,104.070875054253,25.84129439846212,0.1322751322751322,0.0,0.0,0,medium,1,medium_orbital,3
75610004,0.0363190370041877,28,4,24,0.1428571428571428,72.0,2.5714285714285716,1.5907898179514348,28,1.0,57.476226218778976,12.771903381225924,117.86129920683554,24.81493375063504,0.1005291005291005,0.0,0.0,0,medium,1,medium_orbital,2
75614274,0.0448620197014397,28,0,28,0.0,72.0,2.5714285714285716,1.4982983545287878,28,1.0,60.808305975746144,11.063942160229768,117.5787250497982,26.682644164307305,0.1322751322751322,0.0,0.0,0,medium,0,medium_static,4
75618884,0.0352908417118713,24,0,24,0.0,84.0,3.5,0.7637626158259734,24,1.0,61.437799135184385,12.026693726903025,113.99580120386013,26.14102065651323,0.1159420289855072,0.0,0.0,0,small,0,small_static,1
75624437,0.0284581025528988,36,4,32,0.1111111111111111,100.0,2.7777777777777777,1.314684396244359,36,1.0,60.85846973056868,10.405063417766408,119.56616569293942,27.433204438849742,0.1555555555555555,0.0,0.0,0,large,1,large_orbital,2
75632972,0.0306592729609211,24,0,24,0.0,64.0,2.6666666666666665,1.3743685418725535,24,1.0,63.53690803229878,12.31745796298995,121.79028582976628,27.69592249835415,0.1594202898550724,0.0,0.0,0,small,0,small_static,0
75641715,0.0363772603913976,28,0,28,0.0,68.0,2.4285714285714284,1.2936264483053457,28,1.0,61.9487277555529,12.436969440088632,115.1935551678668,26.546286240485692,0.1005291005291005,0.0,0.0,0,medium,0,medium_static,1
75641802,0.0374873228692517,24,4,20,0.1666666666666666,68.0,2.8333333333333335,1.863389981249825,24,1.0,60.87601037538681,11.640748785169066,113.43251516915458,26.08717148390735,0.1304347826086956,0.0,0.0,0,small,1,small_orbital,2
75642437,0.0473948301468752,32,0,32,0.0,76.0,2.375,1.5761900266148114,32,1.0,59.1473904059872,9.85795080177139,122.0898395825343,26.890584697370148,0.1774193548387097,0.0,0.0,0,medium,0,medium_static,3
75645971,0.0293831100838152,36,4,32,0.1111111111111111,64.0,1.7777777777777777,1.227262335243029,36,1.0,59.06601780040192,9.432991329776762,122.19869048708404,26.314467544146325,0.1301587301587301,0.0,0.0,0,large,1,large_orbital,2
75648312,0.0453611987366005,36,4,32,0.1111111111111111,96.0,2.6666666666666665,1.4907119849998596,36,1.0,56.64953932812983,9.570650267695516,116.63416575342578,25.28576556949325,0.1555555555555555,0.0,0.0,0,large,1,large_orbital,3
75648785,0.0269590829079438,24,0,24,0.0,52.0,2.1666666666666665,1.4624940645653537,24,1.0,60.774518976040675,13.196990193323169,103.74984741559447,26.28134294361913,0.1014492753623188,0.0,0.0,0,small,0,small_static,1
75649223,0.0425077520814712,36,4,32,0.1111111111111111,88.0,2.4444444444444446,1.3425606637327303,36,1.0,58.21886693548037,10.742487138432285,119.64115087699685,25.812259269410752,0.1428571428571428,0.0,0.0,0,large,1,large_orbital,3
75649677,0.0331380656269447,32,0,32,0.0,64.0,2.0,1.224744871391589,32,1.0,58.4914808402541,10.319954971036845,115.4339051265081,26.231955877614503,0.1612903225806451,0.0,0.0,0,medium,0,medium_static,4
75653592,0.0304702723868658,36,4,32,0.1111111111111111,88.0,2.4444444444444446,1.4989708403591155,36,1.0,56.87981407268158,9.987611085180117,110.366238039034,25.247839739305498,0.1428571428571428,0.0,0.0,0,large,1,large_orbital,2
75653796,0.0259058175746907,32,0,32,0.0,76.0,2.375,1.1110243021644486,32,1.0,62.03235382731923,10.81551997099154,131.27519780902094,27.68398142653734,0.1209677419354838,0.0,0.0,0,medium,0,medium_static,4
75665474,0.0470677204148472,32,0,32,0.0,56.0,1.75,1.3919410907075054,32,1.0,60.00239923624648,9.292864496079174,134.1257942851959,27.26499935985335,0.1612903225806451,0.0,0.0,0,medium,0,medium_static,4
75665680,0.0291828026352035,20,0,20,0.0,52.0,2.6,0.8,20,1.0,60.318514695930496,12.837834754522694,108.3810566027946,25.51376598419662,0.1368421052631579,0.0,0.0,0,small,0,small_static,1
75672648,0.0429947279279205,20,0,20,0.0,52.0,2.6,1.6248076809271923,20,1.0,60.46221928825582,14.007498173909635,106.31116058238182,24.98441308313748,0.1157894736842105,0.0,0.0,0,small,0,small_static,1
75674654,0.0311555107223721,32,4,28,0.125,88.0,2.75,1.5612494995995996,32,1.0,56.44684087610012,10.495922159717107,114.16238828218894,25.08788053549017,0.1612903225806451,0.0,0.0,0,medium,1,medium_orbital,2
75678738,0.0366704749139486,24,0,24,0.0,60.0,2.5,1.384437310486346,24,1.0,60.79425333924987,11.667261142196695,112.5549945378836,26.12043375967839,0.144927536231884,0.0,0.0,0,small,0,small_static,0
75678884,0.0403358914264185,32,0,32,0.0,64.0,2.0,1.118033988749895,32,1.0,61.03158073972453,9.292058150208158,118.50324814909747,27.3928715600266,0.1693548387096774,0.0,0.0,0,medium,0,medium_static,4
75681966,0.0283680142943649,32,4,28,0.125,80.0,2.5,0.5,32,1.0,55.8946000210985,10.428956811727303,104.89323906088694,24.37480951196106,0.1290322580645161,0.0,0.0,0,medium,1,medium_orbital,2
75682275,0.0475896114603342,24,4,20,0.1666666666666666,76.0,3.1666666666666665,1.2133516482134197,24,1.0,62.48795709578374,10.8717616846915,127.06142286614516,26.95631426912184,0.1304347826086956,0.0,0.0,0,small,1,small_orbital,3
75682823,0.048431641262247,24,4,20,0.1666666666666666,60.0,2.5,0.7637626158259734,24,1.0,59.96085503435076,11.178104476911562,108.26141596393003,25.43762951999983,0.1304347826086956,0.0,0.0,0,small,1,small_orbital,3
75684015,0.0351914113723832,28,0,28,0.0,88.0,3.142857142857143,1.245399698154478,28,1.0,60.77612380794046,11.872309651173,112.04532404680376,26.33305150576395,0.1005291005291005,0.0,0.0,0,medium,0,medium_static,1
75692201,0.0405671152893692,32,0,32,0.0,80.0,2.5,1.0,32,1.0,59.4334853033428,11.15846389992753,110.3991495788872,25.854149443696755,0.1048387096774193,0.0,0.0,0,medium,0,medium_static,4
75693268,0.0391782378735615,28,4,24,0.1428571428571428,88.0,3.142857142857143,1.124858267715973,28,1.0,58.52480918136734,11.314117056170469,119.5851856882313,25.61142036332921,0.1534391534391534,0.0,0.0,0,medium,1,medium_orbital,3
75693368,0.0353914600828465,32,0,32,0.0,80.0,2.5,1.118033988749895,32,1.0,60.063909115739385,9.70205748901495,114.81926801625512,27.03061942626241,0.1290322580645161,0.0,0.0,0,medium,0,medium_static,4
75696094,0.0296341521077854,24,4,20,0.1666666666666666,64.0,2.6666666666666665,1.247219128924647,24,1.0,57.77697012793255,11.362620395641812,111.3163321349322,25.35379204651943,0.144927536231884,0.0,0.0,0,small,1,small_orbital,2
75696709,0.049841863838995,32,4,28,0.125,104.0,3.25,1.6393596310755,32,1.0,59.68447301296628,10.476812161487151,117.72913374490962,26.301314093775215,0.1370967741935483,0.0,0.0,0,medium,1,medium_orbital,3
75697081,0.0433535329126315,32,0,32,0.0,60.0,1.875,0.7806247497997998,32,1.0,60.89249479855931,10.19954694831442,114.28039124178322,26.841437758891747,0.1209677419354838,0.0,0.0,0,medium,0,medium_static,4
75697366,0.0263850021086543,36,8,28,0.2222222222222222,88.0,2.4444444444444446,1.4989708403591155,36,1.0,55.48498373315819,9.457726937541551,110.35091665871752,24.85798283127685,0.1619047619047619,0.0,0.0,0,large,1,large_orbital,2
